,"graphite,cr","CO,g","CO2,g","CH4,g","H2,g","H2O,g","O2,g","ethane,g","propane,g"
76,0,-4.579102638,-6.386052805,2.688344455,1.072768751,-1.606679513,-34,-0.626331219,-3.389238613
77,0,-4.83021934,-7.277078814,2.68568809,1.169741647,-2.071297962,-34,-0.567665741,-3.290777148
78,0,-5.0658204,-8.112416636,2.6825589,1.260811494,-2.508066961,-34,-0.513332639,-3.19912522
79,0,-5.287320961,-8.897137287,2.678927062,1.346443472,-2.919614191,-34,-0.463044663,-3.113818325
80,0,-5.495968843,-9.635713993,2.674753368,1.427043485,-3.308260896,-34,-0.416570673,-3.034477452
81,0,-5.692868579,-10.33210777,2.670000664,1.502971523,-3.676060971,-34,-0.373712252,-2.960776291
82,0,-5.879001424,-10.98983871,2.664633388,1.574547833,-4.024838465,-34,-0.334299218,-2.892433915
83,0,-6.055242097,-11.61204569,2.65861822,1.642058606,-4.35621847,-34,-0.298184346,-2.829206637
84,0,-6.222372874,-12.20153659,2.651924494,1.705760716,-4.671653158,-34,-0.265239121,-2.770881419
85,0,-6.381095491,-12.76083087,2.644524531,1.76588573,-4.972443802,-34,-0.235350206,-2.717270379
86,0,-1.215885295,4.022133281,NaN,NaN,NaN,-32,NaN,NaN
87,0,-1.637385078,2.520334836,1.136650479,-0.448449958,2.189035154,-32,-3.432053712,-7.279846786
88,0,-2.025291475,1.138839901,2.525678057,0.392960315,2.170869917,-32,-1.253596742,-4.346178386
89,0,-2.383504424,-0.136267884,2.660114085,0.596695008,1.579752407,-32,-0.964091756,-3.933005535
90,0,-2.715341889,-1.316837565,2.685521204,0.736626418,0.982310571,-32,-0.844375875,-3.747904751
91,0,-3.023644569,-2.413021046,2.690195071,0.85784137,0.417426965,-32,-0.761309807,-3.613182346
92,0,-3.310858781,-3.433566478,2.689938618,0.969054207,-0.111528302,-32,-0.690594703,-3.496291251
93,0,-3.579102638,-4.386052805,2.688148362,1.072670706,-0.606777558,-32,-0.62662536,-3.389630802
94,0,-3.83021934,-5.277078814,2.685620203,1.169707705,-1.071331903,-32,-0.567767572,-3.290912923
95,0,-4.0658204,-6.112416636,2.682536586,1.260800336,-1.508078119,-32,-0.513366109,-3.199169847
96,0,-4.287320961,-6.897137287,2.678917403,1.346438643,-1.91961902,-32,-0.46305915,-3.113837641
97,0,-4.495968843,-7.635713993,2.674749395,1.427041498,-2.308262883,-32,-0.416576633,-3.0344854
98,0,-4.692868579,-8.332107771,2.669998946,1.502970664,-2.67606183,-32,-0.373714829,-2.960779727
99,0,-4.879001424,-8.989838713,2.664632611,1.574547444,-3.024838853,-32,-0.334300384,-2.89243547
100,0,-5.055242097,-9.612045688,2.658617853,1.642058422,-3.356218654,-32,-0.298184897,-2.829207371
101,0,-5.222372874,-10.20153659,2.651924314,1.705760626,-3.671653248,-32,-0.265239392,-2.77088178
102,0,-5.381095491,-10.76083087,2.644524439,1.765885684,-3.972443848,-32,-0.235350344,-2.717270563
103,0,-0.215885295,6.022133281,NaN,NaN,NaN,-30,NaN,NaN
104,0,-0.637385078,4.520334836,NaN,NaN,NaN,-30,NaN,NaN
105,0,-1.025291475,3.138839901,NaN,NaN,NaN,-30,NaN,NaN
106,0,-1.383504424,1.863732116,2.263833206,0.398554568,2.381611968,-30,-1.558513075,-4.725567293
107,0,-1.715341889,0.683162435,2.604860157,0.696295896,1.941980051,-30,-0.965367447,-3.909226848
108,0,-2.023644569,-0.413021046,2.669208383,0.847348026,1.406933622,-30,-0.79278984,-3.655155722
